Neighborhood,SalePrice,YearBuilt,TotalSold
NoRidge,335295.31707317074,1995,41
NridgHt,316270.6233766234,2006,77
StoneBr,310499,2001,25
Timber,242247.44736842104,2002,38
Veenker,238772.72727272726,1978,11
Somerst,225379.83720930232,2006,86
ClearCr,212565.42857142858,1966.5,28
Crawfor,210624.72549019608,1938,51
CollgCr,197965.77333333335,2002,150
Blmngtn,194870.88235294117,2005,17
Gilbert,192854.50632911394,2000,79
NWAmes,189050.0684931507,1976,73
SawyerW,186555.7966101695,1991,59
Mitchel,156270.1224489796,1982,49
NAmes,145847.08,1960,225
NPkVill,142694.44444444444,1976,9
SWISU,142591.36,1925,25
Blueste,137500,1980,2
Sawyer,136793.13513513515,1965,74
OldTown,128225.30088495575,1920,113
Edwards,128219.7,1954,100
BrkSide,124834.05172413793,1929.5,58
BrDale,104493.75,1971,16
IDOTRR,100123.78378378379,1922,37
MeadowV,98576.4705882353,1972,17
